rollout/ep_len_mean,short_std,short_mean,time/iterations,return_std,long_mean,return_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,long_std,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl,train/n_updates,train/loss
20.0,0.27035144,0.2780611,1,0.4931561,-0.38583893,0.79003227,60,33,2.38441176,2.0150378,2048,,,,,,,,,,
20.0,0.30674794,0.3289078,2,0.57445645,-0.37172472,0.9406524,61,66,2.27088233,1.9787974,4096,-0.0030743714480195193,0.0,0.19301881359424441,1e-05,-0.5530742406845093,0.2,-3.5552270889282225,0.00031351193,10,0.06359806656837463
20.0,0.29785454,0.30228043,3,0.66107666,-0.39394093,1.0627184,62,98,2.5191176200000003,2.0872164,6144,-0.0021067679874249732,0.0,0.11671943387482316,1e-05,0.44764190912246704,0.2,-3.554813525080681,0.00024779726,20,0.03249458223581314
20.0,0.26454535,0.3036464,4,0.6162649,-0.39120263,1.070695,63,129,2.43735293,2.0403538,8192,-0.002911911501723807,0.0,0.10438099628081546,1e-05,0.6511864364147186,0.2,-3.5542362608015536,0.00044475007,30,0.05684894323348999
20.0,0.27810973,0.3005181,5,0.6273909,-0.37251055,0.97440267,63,160,2.2644117699999997,1.9567614,10240,-0.002688604503055103,0.0,0.07579838825622573,1e-05,0.7226794958114624,0.2,-3.5535863116383553,0.00042324926,40,0.030519360676407814
20.0,0.35383955,0.35366124,6,0.63733006,-0.38512066,0.9976133,63,193,2.2920588600000005,2.0809672,12288,-0.0024707515549380332,0.0,0.07899314941605554,1e-05,0.7386665046215057,0.2,-3.5528235226869582,0.00042119747,50,0.021194878965616226
20.0,0.28796777,0.30201697,7,0.6240522,-0.40739635,0.9966338,63,225,2.33794118,2.0351326,14336,-0.002906820081989281,0.0,0.08870862355688587,1e-05,0.7289694249629974,0.2,-3.5520158976316454,0.00047084707,60,0.04601311311125755
20.0,0.2605373,0.27488536,8,0.6258802,-0.38396755,0.9590387,63,258,2.2467646800000005,1.9854252,16384,-0.00565696439880412,0.0,0.06715653174323961,1e-05,0.782586470246315,0.2,-3.5501914508640766,0.0015083159,70,0.010699030011892319
20.0,0.3053196,0.26480207,9,0.6548903,-0.36191183,1.0682881,63,290,2.4426470900000004,2.0165906,18432,-0.002926646669220645,0.0,0.06779082445427775,1e-05,0.7902342230081558,0.2,-3.547416716814041,0.000559944,80,0.01798330992460251
20.0,0.29112175,0.29065675,10,0.6558594,-0.38065398,1.076821,63,321,2.46147058,1.99186,20480,-0.002913871419150382,0.0,0.07744397345231846,1e-05,0.7812959402799606,0.2,-3.5461403422057627,0.00057642953,90,0.025707585737109184
20.0,0.2635119,0.29041493,11,0.6399467,-0.40675125,1.0114024,63,353,2.32911766,2.0457616,22528,-0.005032481619855389,0.0,0.06595905751455575,1e-05,0.8065167665481567,0.2,-3.5420816995203497,0.0017918309,100,0.015194913372397423
20.0,0.21132271,0.24007058,12,0.6985437,-0.35362297,1.1364547,63,384,2.5652941000000005,1.8346589,24576,-0.00554417532403022,0.0,0.0646088407433126,1e-05,0.8088647276163101,0.2,-3.533730048686266,0.0019993153,110,0.029103565961122513
20.0,0.32724866,0.2931207,13,0.6656571,-0.39361775,1.0843894,63,418,2.49411762,2.0267859,26624,-0.0031820419477298855,0.0,0.07464362605242059,1e-05,0.7974177002906799,0.2,-3.5255118407309056,0.0011033325,120,0.034994982182979584
20.0,0.21084571,0.22210664,14,0.6828785,-0.3632086,1.1041789,63,450,2.5411764700000004,1.9996107,28672,-0.0067140587052563205,0.0,0.07115362367476337,1e-05,0.8052840977907181,0.2,-3.510326675325632,0.0037830886,130,0.01569187082350254
