return_mean,short_mean,short_std,time/time_elapsed,time/fps,long_mean,time/total_timesteps,return_std,rollout/ep_len_mean,long_std,time/iterations,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss
18.627758,0.14283872,0.10206344,1645,99,0.00441648,164000,2.6189528,2000.0,0.17571232,82,298.0609756097561,0.004541015625,0.03418022394180298,1e-05,810,-0.12823957353830337,0.2,0.00080319913,-0.00066471315221861,2.8005471229553223,5.8283525876700875
19.243567,0.14154868,0.053078275,1665,99,0.0032824245,166000,2.7808936,2000.0,0.18847872,83,300.1686746987952,0.0130859375,0.033058345317840576,1e-05,820,-0.13018307460006326,0.2,0.0008474927,-0.001118592990678735,1.877994418144226,6.568835566937923
19.2925,0.14786768,0.056453574,1684,99,0.0019538503,168000,2.743715,2000.0,0.18748419,84,301.4404761904762,0.004248046875,-0.0057822465896606445,1e-05,830,-0.11353448166046291,0.2,0.0003777646,-0.0006418653167202138,1.2248377799987793,7.704012516885996
19.759874,0.10128107,0.06803276,1704,99,0.0032823738,170000,2.4565907,2000.0,0.18737806,85,303.3764705882353,0.0015625,0.020591795444488525,1e-05,840,-0.11375397230731324,0.2,0.0004912153,-0.0005494916375027969,2.8445544242858887,7.312969442456961
19.260555,0.13408417,0.12854256,1724,99,0.0011418214,172000,2.3977022,2000.0,0.19220807,86,303.9418604651163,0.00849609375,0.09634172916412354,1e-05,850,-0.10156760123791173,0.2,0.0011546611,-0.0003258263721363619,2.942382574081421,5.407995507866144
19.30567,0.07343172,0.059323188,1744,99,0.0027137445,174000,2.6432002,2000.0,0.18700285,87,305.18390804597703,0.000732421875,0.072101891040802,1e-05,860,-0.12610884148161858,0.2,0.0005029974,-0.0005800776416435838,1.9189319610595703,5.309378921985626
19.2212,0.1423345,0.09354585,1764,99,0.002188876,176000,2.6622825,2000.0,0.18185544,88,306.1136363636364,0.005810546875,-0.004106760025024414,1e-05,870,-0.12042011676821858,0.2,0.00079096865,-0.0012208125815959647,4.093626976013184,6.940891562402248
19.139761,0.16598499,0.08779824,1784,99,0.0036151225,178000,2.3970373,2000.0,0.19209957,89,306.9438202247191,0.00849609375,0.09414613246917725,1e-05,880,-0.11684279763139785,0.2,0.0007533373,-0.0008955913945101202,2.0185067653656006,6.258719647675752
19.692251,0.18165296,0.06691248,1804,99,0.0026099968,180000,2.5773284,2000.0,0.17750995,90,308.81111111111113,0.01865234375,-0.018344640731811523,1e-05,890,-0.10946811842732132,0.2,0.00082303525,-0.002115810348186642,3.4518818855285645,5.709818929061294
19.282766,0.122556455,0.06705579,1824,99,0.0015507377,182000,2.53214,2000.0,0.18548438,91,309.3956043956044,0.006494140625,0.07034420967102051,1e-05,900,-0.1185428007505834,0.2,0.00051585084,-0.0007222253829240799,1.423966884613037,6.178363490849733
19.55699,0.101636425,0.064905,1844,99,0.0034603397,184000,2.4062316,2000.0,0.18070944,92,310.60869565217394,0.014306640625,0.1167420744895935,1e-05,910,-0.12260056287050247,0.2,0.0011036855,-0.0012311629994655958,3.636237382888794,5.612936902046203
19.659842,0.12798275,0.075157516,1864,99,0.0032765956,186000,2.5604818,2000.0,0.18384553,93,312.02150537634407,0.001318359375,0.0731499195098877,1e-05,920,-0.11219575868453831,0.2,0.00023484646,-0.00011901014222530648,3.771782398223877,5.346343132853508
19.973864,0.14631923,0.08501343,1884,99,0.0039341403,188000,2.3295922,2000.0,0.1827076,94,313.36170212765956,0.01328125,0.05220001935958862,1e-05,930,-0.09977428778074682,0.2,0.00081141316,-0.00116107105568517,1.705804467201233,6.188707122951746
19.766382,0.15253094,0.07857818,1904,99,0.002540966,190000,2.6225395,2000.0,0.18196855,95,314.3578947368421,0.002734375,0.03428614139556885,1e-05,940,-0.11292115268297494,0.2,0.0006994588,-0.00047484427341260016,1.2480770349502563,5.2116851665079595
20.070454,0.118004695,0.064975694,1924,99,0.0023286156,192000,2.3556354,2000.0,0.18152058,96,315.6770833333333,0.0017578125,0.07525759935379028,1e-05,950,-0.0997373703867197,0.2,0.00015481465,-0.00012289647420402617,2.2530264854431152,6.262840279191733
20.193983,0.09922926,0.054410283,1943,99,0.0030286708,194000,2.7649398,2000.0,0.17692542,97,316.9484536082474,0.012548828125,0.06046617031097412,1e-05,960,-0.09272603534627706,0.2,0.00057323393,-0.0009990392500185408,2.2798209190368652,5.1833139605820175
20.239414,0.18415873,0.103150316,1963,99,0.004197755,196000,2.3652434,2000.0,0.19246733,98,318.03061224489795,0.0,0.10320156812667847,1e-05,970,-0.09294724010396749,0.2,9.722411e-05,-0.0002508043427951634,2.179736375808716,6.674095924198627
19.739027,0.14360903,0.08313634,1983,99,0.0027297908,198000,2.5425084,2000.0,0.17804275,99,318.6868686868687,0.00673828125,0.04991418123245239,1e-05,980,-0.09066683537093922,0.2,0.00053465564,-0.0007662752090254798,1.121996283531189,5.220283076167107
19.401632,0.17469788,0.081331804,2003,99,0.0035144892,200000,2.377419,2000.0,0.18377662,100,319.19,0.0021484375,0.06312918663024902,1e-05,990,-0.08812046326929704,0.2,0.00028981845,5.870477471034974e-05,12.94427490234375,6.113052207231521
19.044897,0.16506995,0.0986058,2022,99,0.0014285286,202000,2.4686956,2000.0,0.18356963,101,321.54,0.004638671875,0.0658489465713501,1e-05,1000,-0.08700802407693117,0.2,0.000274153,-0.0003683548915432766,4.44412088394165,5.260653399676085
19.14238,0.2061652,0.096253924,2042,99,0.003204509,204000,2.4410164,2000.0,0.18074352,102,324.96,0.009423828125,0.025832414627075195,1e-05,1010,-0.08103823787532746,0.2,0.0005415637,-0.0009065452984941657,3.3250362873077393,5.994290239363909
18.585485,0.15668762,0.0917731,2063,99,0.0038295202,206000,2.415569,2000.0,0.17996103,103,328.4,0.004345703125,0.045127153396606445,1e-05,1020,-0.07593575643841177,0.2,0.000104659266,-0.00030237844330258665,7.3698577880859375,5.614207595586777
18.163235,0.17366514,0.08296976,2083,99,0.0032614206,208000,2.3868108,2000.0,0.18626027,104,332.03,0.002001953125,0.065096914768219,1e-05,1030,-0.07673299808520824,0.2,0.00039727602,-0.00019604298722697422,1.5709593296051025,5.507609675079584
18.264023,0.19316675,0.07287366,2103,99,0.0016967045,210000,2.4468899,2000.0,0.18311371,105,334.97,0.00263671875,0.07252764701843262,1e-05,1040,-0.07216139655793086,0.2,0.00030851166,-0.00074332102376502,2.3859641551971436,5.2385484673082825
18.03593,0.23935947,0.091236226,2123,99,0.003079013,212000,2.5697858,2000.0,0.18454503,106,338.77,0.00087890625,0.04410666227340698,1e-05,1050,-0.06306434698635713,0.2,0.000102155755,-0.00020102281705476345,1.4900825023651123,5.650518079847098
18.27314,0.1741759,0.07413468,2143,99,0.0016433052,214000,2.4637032,2000.0,0.18109016,107,342.66,0.00078125,0.11544060707092285,1e-05,1060,-0.06417815148597583,0.2,6.0628983e-05,-7.377419533440843e-05,1.8934937715530396,5.894285932183266
