short_mean,rollout/ep_len_mean,return_std,rollout/ep_rew_mean,short_std,time/fps,time/total_timesteps,time/iterations,long_mean,time/time_elapsed,return_mean,long_std,train/std,train/entropy_loss,train/learning_rate,train/approx_kl,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/n_updates,train/value_loss,train/clip_fraction
0.020686366,1000.0,44.016834,-2138.25,0.026429696,244,2048,1,0.0009924946,8,-30.779018,0.015112258,,,,,,,,,,,
0.018384693,1000.0,33.191334,-1461.625,0.011835089,243,4096,2,0.0007834638,16,-13.869219,0.014727527,1.0001202821731567,-7.094869063794613,1e-05,0.0032144522,1725.13916015625,-0.12133502960205078,-0.004208734637359157,0.2,10,3052.6245513916015,0.012451171875
0.02098794,1000.0,33.89517,-1331.4166666666667,0.015794381,242,6144,3,0.0007377495,25,-20.504625,0.017755264,1.0002422332763672,-7.095573239028454,1e-05,0.004527958,506.8044128417969,0.05170464515686035,-0.005357441731030121,0.2,20,1076.6639316558837,0.018017578125
0.030714102,1000.0,16.656132,-917.15625,0.015566716,242,8192,4,0.0007332604,33,1.2993927,0.0149842715,1.0001164674758911,-7.095449537038803,1e-05,0.0057968535,640.0386962890625,0.16497963666915894,-0.006689096489571967,0.2,30,1045.4038347244264,0.026318359375
0.03676547,1000.0,14.374701,-506.875,0.019150175,243,10240,5,0.0004163414,42,25.933283,0.017713048,0.9992920160293579,-7.092973932623863,1e-05,0.009820683,38.86970520019531,0.4142865538597107,-0.013628484995570034,0.2,40,124.14757701158524,0.094140625
0.045728404,1000.0,10.76662,-194.875,0.015280612,243,12288,6,0.00058447226,50,46.50432,0.016304942,0.9992780685424805,-7.091214954853058,1e-05,0.008828845,64.11363983154297,0.39668238162994385,-0.008229953081172425,0.2,50,233.77522056102754,0.03486328125
0.044291947,1000.0,12.001706,34.07142857142857,0.014766648,243,14336,7,0.0003829818,58,57.894226,0.01455054,0.9996264576911926,-7.0915513128042225,1e-05,0.0062378794,25.606462478637695,0.43367600440979004,-0.004150196004775353,0.2,60,151.14088147878647,0.026318359375
0.040706184,1000.0,11.402681,198.75,0.013316127,244,16384,8,0.0005369156,67,70.44328,0.015256339,0.9997666478157043,-7.093131311237812,1e-05,0.0038029808,31.43602180480957,0.4796636700630188,-0.0011290851456578822,0.2,70,157.6840284705162,0.00556640625
0.03431544,1000.0,13.313529,347.19444444444446,0.01633485,244,18432,9,0.0006741303,75,83.9096,0.014861355,0.9998720288276672,-7.093744322657585,1e-05,0.0050689094,37.76120376586914,0.0496373176574707,-0.002675760502461344,0.2,80,153.08958183526994,0.013720703125
0.037207443,1000.0,13.566768,461.175,0.01956461,244,20480,10,0.00049070246,83,88.19708,0.016576767,0.9998268485069275,-7.094018469750881,1e-05,0.007438482,69.32256317138672,0.34755969047546387,-0.004656816087663174,0.2,90,142.7142741560936,0.042431640625
0.0328638,1000.0,14.866279,554.4318181818181,0.014379452,243,22528,11,0.0004905205,92,102.652336,0.014940625,0.9997518658638,-7.0937171399593355,1e-05,0.004075206,75.00768280029297,0.17086762189865112,-0.0023339378341916015,0.2,100,168.99659996032716,0.011767578125
0.043716393,1000.0,14.229165,625.6041666666666,0.01554948,244,24576,12,0.0006236702,100,107.18192,0.016731314,0.9997465014457703,-7.093368865549564,1e-05,0.0038119913,60.345794677734375,0.1489551067352295,-0.001452980340400245,0.2,110,194.60767714977266,0.00400390625
0.057605073,1000.0,22.29691,613.1826923076923,0.022324184,243,26624,13,0.00062064565,109,105.5887,0.013997124,0.9996910095214844,-7.093384337425232,1e-05,0.0068033934,146.19044494628906,-0.17039799690246582,-0.006370042794151232,0.2,120,200.2783341407776,0.054248046875
0.07786617,1000.0,125.37915,-66.72321428571429,0.03608451,244,28672,14,0.0006347323,117,0.7568989,0.014448062,0.9997164011001587,-7.093179734051228,1e-05,0.0038619218,403.59747314453125,-7.373437881469727,-0.003334710921626538,0.2,130,2669.2497161865235,0.013525390625
