long_std,time/iterations,time/fps,rollout/ep_len_mean,return_std,return_mean,long_mean,time/time_elapsed,short_std,rollout/ep_rew_mean,time/total_timesteps,short_mean,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/loss
1.4781611,1,59,20.0,0.38285017,0.6922886,0.17854843,34,0.4290324,1.5459459199999999,2048,0.39833635,,,,,,,,,,
1.5021983,2,59,20.0,0.46585524,0.7699258,0.19324195,68,0.38534826,1.4754054100000003,4096,0.3899682,0.2,-3.637450820207596,-0.0034973621368408203,0.09009386233519763,10,-0.002335565483372193,0.0,0.00043467063,1e-05,0.02338162250816822
1.4602644,3,59,20.0,0.48198175,0.84266126,0.18598652,103,0.28660527,1.6329729499999999,6144,0.33077416,0.2,-3.6367374159395696,0.4082414507865906,0.07561554433195852,20,-0.002774025579856243,0.0,0.0008053947,1e-05,0.024597009643912315
1.4251226,4,59,20.0,0.48929748,0.86567885,0.15634617,138,0.35044676,1.6370270000000002,8192,0.36770254,0.2,-3.632758606225252,0.5627548396587372,0.05963672075304203,30,-0.006316037164651789,0.00654296875,0.004590376,1e-05,0.005931500345468521
1.4305378,5,58,20.0,0.47615469,0.7576201,0.20278181,173,0.41844523,1.42891892,10240,0.4117763,0.2,-3.625444830209017,0.6179515421390533,0.057081042282516134,40,-0.005859217490069568,0.00166015625,0.0034145243,1e-05,-0.01034465804696083
1.4707625,6,58,20.0,0.5137679,0.8859179,0.16630074,209,0.32496387,1.6570270399999996,12288,0.35580027,0.2,-3.6086519174277782,0.6232957243919373,0.05488639468094334,50,-0.008466345720808021,0.033837890625,0.0073593,1e-05,0.021414391696453094
1.402865,7,58,20.0,0.5112329,0.7931772,0.17680681,245,0.24800594,1.4648648899999999,14336,0.3244878,0.2,-3.5823465928435327,0.6439246237277985,0.06351978693855927,60,-0.008724695636192336,0.031689453125,0.008255018,1e-05,-0.012784197926521301
1.409988,8,58,20.0,0.5152171,0.82355976,0.18386233,279,0.30546966,1.5383784499999995,16384,0.35625637,0.2,-3.5496900364756585,0.6798459589481354,0.06350562731968239,70,-0.006467333524778951,0.0220703125,0.007784321,1e-05,-0.002704046666622162
1.4554248,9,58,20.0,0.5095751,0.8958262,0.16099033,314,0.30084336,1.6889189799999997,18432,0.3318879,0.2,-3.5127642065286637,0.674677699804306,0.06848680374678225,80,-0.010281572525855154,0.043798828125,0.00932752,1e-05,-0.018944723531603813
1.4187887,10,58,20.0,0.49558765,0.84704614,0.16284317,348,0.27242777,1.58675679,20480,0.32273537,0.2,-3.48287420719862,0.7132620215415955,0.05278750839061104,90,-0.012236244950327092,0.045654296875,0.009859294,1e-05,0.025998814031481743
1.4044093,11,58,20.0,0.5156279,0.8713383,0.1618657,381,0.3003106,1.6121621700000004,22528,0.34309012,0.2,-3.4447510696947576,0.7174580693244934,0.05031918885069899,100,-0.010725821426603943,0.038720703125,0.011108487,1e-05,-0.010521788150072098
1.4150802,12,59,20.0,0.5506387,0.92424273,0.15195808,416,0.27352804,1.77459463,24576,0.3663609,0.2,-3.385744246840477,0.708600789308548,0.056012500124052164,110,-0.011873253213707358,0.0525390625,0.011844248,1e-05,0.01691807061433792
1.4046181,13,58,20.0,0.5270402,0.8758619,0.16497108,451,0.26790774,1.59459463,26624,0.3320344,0.2,-3.3304729208350183,0.7418375909328461,0.056530602526618165,120,-0.01199766441131942,0.06689453125,0.01011491,1e-05,0.004871435463428497
1.3390402,14,58,20.0,0.55269253,0.93371046,0.15286434,486,0.24590541,1.7500000200000005,28672,0.34334242,0.2,-3.2999733947217464,0.7131648659706116,0.05966052883304655,130,-0.010085735621396452,0.044140625,0.011104019,1e-05,-0.016452591866254807
1.3181472,15,59,20.0,0.5185137,0.8758281,0.1774455,520,0.3540487,1.60945948,30720,0.38407508,0.2,-3.2587776303291323,0.7331319749355316,0.06061116688651964,140,-0.012882298757904209,0.061083984375,0.013945593,1e-05,-0.0016309600323438644
1.372675,16,59,20.0,0.50944054,0.92721367,0.15324256,555,0.28446558,1.7524323899999996,32768,0.355011,0.2,-3.1836284570395947,0.7043403387069702,0.055693930690176786,150,-0.008716595775331371,0.0595703125,0.009844381,1e-05,0.01351194828748703
1.4586425,17,58,20.0,0.5499918,0.9525621,0.1476058,590,0.2733324,1.7951351299999998,34816,0.35017014,0.2,-3.1544217936694623,0.7409816384315491,0.04882623441517353,160,-0.007936462390352972,0.023193359375,0.008248054,1e-05,0.009260216727852821
1.4361885,18,59,20.0,0.5580937,0.9370941,0.17223617,624,0.2516351,1.74702706,36864,0.35420376,0.2,-3.064480007439852,0.7462219893932343,0.05554959109867923,170,-0.014082235330715776,0.082568359375,0.015083684,1e-05,-0.023606903851032257
1.3975781,19,59,20.0,0.55615914,0.9591906,0.15438943,658,0.2282874,1.8232432399999998,38912,0.33101997,0.2,-2.988405979424715,0.7594533413648605,0.05433387795346789,180,-0.010413331000017933,0.056982421875,0.011389436,1e-05,0.005117639899253845
1.4627995,20,59,20.0,0.57645833,0.97067267,0.14366478,693,0.22724597,1.8240540299999999,40960,0.33769006,0.2,-2.907989823073149,0.7672654688358307,0.05351209364598617,190,-0.009194712043972686,0.049072265625,0.008879719,1e-05,0.023588906973600388
1.4289752,21,59,20.0,0.5398768,0.89310694,0.1629451,727,0.24538161,1.6843242800000002,43008,0.3356806,0.2,-2.8508669354021547,0.7666031420230865,0.05703126479056664,200,-0.008483368165616411,0.047802734375,0.008466137,1e-05,0.034582532942295074
1.4334996,22,59,20.0,0.55480945,0.9463626,0.14770561,761,0.24658877,1.79756756,45056,0.3398437,0.2,-2.7951976515352728,0.7581400722265244,0.05366507110302336,210,-0.0130717558960896,0.079345703125,0.013936421,1e-05,0.0213084165006876
1.3962258,23,59,20.0,0.5218101,0.85538894,0.16524124,795,0.26737174,1.6275675900000002,47104,0.35738492,0.2,-2.745684943348169,0.7630589753389359,0.05442677711835131,220,-0.009469476909725928,0.04970703125,0.010258993,1e-05,-0.018584007397294044
1.3454036,24,59,20.0,0.54968876,0.93588394,0.15784031,829,0.22881399,1.74891895,49152,0.34676504,0.2,-2.723116184026003,0.7448804080486298,0.052157666155835614,230,-0.009659641173493582,0.05869140625,0.01198609,1e-05,0.035852134227752686
