rollout/ep_len_mean,time/fps,time/iterations,long_std,time/time_elapsed,short_std,return_mean,rollout/ep_rew_mean,short_mean,return_std,time/total_timesteps,long_mean,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss
2000.0,93,1,0.18672144,21,0.05614658,0.94034445,119.0,0.053665664,2.1876535,2000,0.0012856713,,,,,,,,,,
2000.0,93,2,0.1855964,42,0.07013159,1.1609062,98.0,0.0810161,2.0216262,4000,0.0031450144,5.249990311264992,0.2,0.0,2.3303292e-05,2.113840103149414,-0.00011429301230236888,-0.0021523237228393555,10,1e-05,-0.6931404871866107
2000.0,92,3,0.1904363,64,0.069588624,0.8594057,62.0,0.10249969,2.0890386,6000,0.0018556613,4.161968797445297,0.2,0.0,2.126384e-06,2.2721540927886963,-8.079596445895732e-05,0.000574946403503418,20,1e-05,-0.6931200368329883
2000.0,93,4,0.18728304,86,0.06157666,0.50399894,40.75,0.0772018,2.0434666,8000,0.001099634,4.347358137741685,0.2,0.0,4.833826e-06,1.7933597564697266,-9.506372734904289e-05,-7.033348083496094e-06,30,1e-05,-0.6931283285841345
2000.0,93,5,0.18787237,107,0.063420266,1.2177753,51.4,0.05135223,2.0212045,10000,0.0038663214,4.167746594548225,0.2,0.0,2.39363e-05,1.7811198234558105,-0.00014380061911651866,0.00504225492477417,40,1e-05,-0.6931376861408353
2000.0,93,6,0.18903528,128,0.04323603,0.74960524,38.833333333333336,0.053346906,2.0758994,12000,0.002126962,4.182959482073784,0.2,0.0,3.6844285e-06,2.611957311630249,-4.207294259686023e-05,0.008256375789642334,50,1e-05,-0.6931253224611282
2000.0,93,7,0.18410392,149,0.051634576,0.8513851,37.0,0.044446304,2.2047594,14000,0.0024252553,4.277586000412702,0.2,0.0,7.775932e-06,1.6790965795516968,-7.327985076699406e-05,0.012548089027404785,60,1e-05,-0.6931162487715483
2000.0,93,8,0.18419239,170,0.055563148,1.5933034,45.625,0.07245722,2.0851567,16000,0.003339935,4.761000245809555,0.2,0.0,9.388197e-06,1.2902511358261108,-6.0838458011858165e-05,0.01694309711456299,70,1e-05,-0.6931164160370826
2000.0,93,9,0.18834884,192,0.0588835,1.3677857,41.888888888888886,0.04821136,2.2061641,18000,0.0009571166,4.34336252361536,0.2,0.0,2.5751826e-05,1.7287874221801758,-9.735119965625927e-05,0.02148514986038208,80,1e-05,-0.6930784773081541
2000.0,93,10,0.18185703,213,0.11789994,1.1101291,37.3,0.079876505,2.131057,20000,0.0017134238,4.849089583754539,0.2,0.0,1.831021e-05,1.5229765176773071,-0.00015455726243089883,0.002257108688354492,90,1e-05,-0.6930373966693878
2000.0,93,11,0.1854211,235,0.060851373,1.6698276,42.27272727272727,0.0584036,2.039161,22000,0.0034799285,4.45847940929234,0.2,0.0,4.3467153e-06,2.183999538421631,-0.00010325860930606722,0.016183912754058838,100,1e-05,-0.693057469651103
2000.0,93,12,0.18815193,256,0.05923629,1.5610237,40.666666666666664,0.054342132,1.8623759,24000,0.0027690544,4.168990018963814,0.2,0.0,4.9459923e-06,2.1438024044036865,-0.00010198100935667753,0.011845886707305908,110,1e-05,-0.6930268730968236
2000.0,93,13,0.1848243,277,0.08380423,2.0288649,44.30769230769231,0.09084683,1.9146886,26000,0.0036134191,3.4548135094344614,0.2,0.0,9.716101e-05,1.0111860036849976,-0.00032779028842924165,-0.0018603801727294922,120,1e-05,-0.6929553618654609
2000.0,93,14,0.1815985,299,0.07014252,2.1681323,45.214285714285715,0.09519852,1.9771193,28000,0.0015542764,3.5742647532373666,0.2,0.0,4.6765344e-05,2.1172521114349365,-0.00028380654111970216,0.029208838939666748,130,1e-05,-0.6927636150270701
2000.0,93,15,0.18624088,320,0.07223465,2.8886967,50.733333333333334,0.042491637,2.2119534,30000,0.0030814814,3.8895313955843447,0.2,0.0,2.3764005e-05,2.2888498306274414,-0.00030684515659231695,0.00449371337890625,140,1e-05,-0.6925367046147585
2000.0,93,16,0.19130117,341,0.04985638,2.738613,50.6875,0.05838921,2.0272903,32000,0.0035261272,4.915548771619797,0.2,0.0,2.5521935e-05,1.167840838432312,-0.00010993313044309616,0.005763113498687744,150,1e-05,-0.6922492271289229
2000.0,93,17,0.18797317,362,0.085551634,2.774727,51.470588235294116,0.090561226,1.7933735,34000,0.001115528,4.016478503495454,0.2,0.0,0.00015928736,0.9638830423355103,-0.0005022236349759623,0.0184972882270813,160,1e-05,-0.6920667205005884
2000.0,93,18,0.18730256,384,0.06872326,1.8854126,46.166666666666664,0.059291564,1.9186676,36000,0.0024772193,3.192206368595362,0.2,0.0,0.00046087452,1.91465425491333,-0.0008001478621736169,-0.002120494842529297,170,1e-05,-0.6915892694145441
2000.0,93,19,0.17845103,406,0.072656624,2.2506945,47.94736842105263,0.07441648,2.0689716,38000,0.0011413377,3.6847297552973033,0.2,0.0,0.0001385836,1.8605231046676636,-0.0002607651986181736,0.03312718868255615,180,1e-05,-0.69107610527426
2000.0,93,20,0.19063048,427,0.061016686,2.3226967,48.15,0.036397815,2.34419,40000,0.0020731224,4.113812111318111,0.2,0.0,0.00012300108,4.011387825012207,-0.00024154977581929414,0.03337681293487549,190,1e-05,-0.6907747693359851
2000.0,93,21,0.18116826,449,0.04271577,2.3924696,48.23809523809524,0.040281456,2.2656574,42000,0.002658001,5.126787742972374,0.2,0.0,0.0002406133,1.5507078170776367,-0.0005400238587753847,0.051122188568115234,200,1e-05,-0.6898996816948056
2000.0,93,22,0.18692042,471,0.035608314,2.2350585,48.04545454545455,0.01773515,2.0833633,44000,0.0033916153,4.774942833185196,0.2,0.0,0.00017995259,1.4403431415557861,-0.0001460496918298304,0.057496488094329834,210,1e-05,-0.6893417140468955
2000.0,93,23,0.18605499,493,0.03437575,2.66756,50.17391304347826,0.026027465,2.0968335,46000,0.0022289657,3.8953835763037206,0.2,0.0,8.076758e-05,1.6625944375991821,-0.00024600322649348527,0.09743279218673706,220,1e-05,-0.6894569579511881
2000.0,93,24,0.18487716,515,0.02507676,1.9600388,47.041666666666664,0.024012826,2.1024623,48000,0.0024473034,4.142921616137028,0.2,0.0,0.00032363314,2.60024094581604,-0.0005099610425531864,0.05965769290924072,230,1e-05,-0.6877188455313444
2000.0,92,25,0.1884284,538,0.06362404,1.6439083,45.16,0.048609916,2.244682,50000,0.002425835,4.110846031084657,0.2,0.0,0.0011603029,0.8513603210449219,-0.0010918951127678155,0.07695555686950684,240,1e-05,-0.6851234035566449
2000.0,92,26,0.19051722,560,0.08482795,2.1436143,46.73076923076923,0.03933611,2.1983964,52000,0.0018566181,4.706833151727915,0.2,0.0,0.0005746856,2.7354769706726074,-0.00086523932259297,0.06583064794540405,250,1e-05,-0.683058850094676
2000.0,92,27,0.18053955,584,0.010309627,1.2462056,42.81481481481482,0.008804343,2.259839,54000,0.004590456,4.210718336701393,0.2,0.0,0.0012104716,2.4994595050811768,-0.0009646258637076244,0.11348336935043335,260,1e-05,-0.6853378057479859
2000.0,92,28,0.18616717,607,0.004962585,-2.3617692,26.178571428571427,0.003234829,1.7015547,56000,0.005383025,4.975612034648657,0.2,0.0,0.0032735146,1.3291645050048828,-0.002466675857431255,0.03515118360519409,270,1e-05,-0.6872857704758644
2000.0,92,29,0.18692952,629,0.009216863,-2.9506304,20.586206896551722,0.00821936,1.8777276,58000,0.0036206446,8.234581651911139,0.2,0.0,0.005072752,1.6434216499328613,-0.004572670924244448,-0.07671904563903809,280,1e-05,-0.6843728704378009
2000.0,92,30,0.18974233,652,0.03607641,-2.7730737,18.466666666666665,0.009725493,2.0123708,60000,0.001173203,3.523613508045673,0.2,0.0,6.916346e-05,1.900187611579895,-0.0003238699369831011,0.0021727681159973145,290,1e-05,-0.6746411507949233
