time/iterations,long_mean,time/fps,rollout/ep_rew_mean,return_std,long_std,time/time_elapsed,short_std,return_mean,time/total_timesteps,short_mean,rollout/ep_len_mean,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/std
27,0.0006248265,232,1084.5272727272727,15.250304,0.016045976,237,0.019552052,135.35097,55296,0.030628335,1000.0,1e-05,0.2,0.038671875,260,0.0060450435,-7.100332437455654,-0.1575157642364502,233.6818574666977,298.8306579589844,-0.004942062542249914,1.0011202096939087
28,0.0004991777,232,1097.9605263157894,15.115439,0.017330924,246,0.017825043,134.99957,57344,0.03016331,1000.0,1e-05,0.2,0.06298828125,270,0.0069299433,-7.10033570677042,-0.00021529197692871094,228.45010752677916,90.86638641357422,-0.006734174031589646,1.0010980367660522
29,0.00057335437,232,1111.457627118644,14.428865,0.017903568,254,0.014708052,133.99358,59392,0.036817603,1000.0,1e-05,0.2,0.0365234375,280,0.0049989987,-7.100020195543766,-0.03242003917694092,232.7580429315567,75.57711029052734,-0.004476915183477104,1.0010312795639038
30,0.00058347965,233,1123.9631147540983,16.032303,0.015492071,263,0.01344068,135.71307,61440,0.03370949,1000.0,1e-05,0.2,0.04052734375,290,0.0060700784,-7.0998148828744885,-0.10124564170837402,224.2495790719986,217.12521362304688,-0.00447796603111783,1.0010508298873901
31,0.00054921414,233,1138.1904761904761,16.906696,0.017554652,272,0.011329535,136.15877,63488,0.036926553,1000.0,1e-05,0.2,0.021923828125,300,0.0045639835,-7.100731319189071,0.1042327880859375,227.00449378490447,46.98118591308594,-0.002864234504522756,1.001368761062622
32,0.00042093702,233,1150.0307692307692,17.198643,0.01764321,280,0.016217453,137.27136,65536,0.033278555,1000.0,1e-05,0.2,0.0546875,310,0.006328191,-7.101969921588898,0.1458437442779541,237.33739750385286,205.43344116210938,-0.005186465676524676,1.0015408992767334
33,0.00065575447,233,1158.563432835821,17.067198,0.01521959,289,0.017551728,137.37967,67584,0.034574993,1000.0,1e-05,0.2,0.063525390625,320,0.0064324494,-7.10230550467968,0.18984460830688477,235.5565022945404,257.88543701171875,-0.0053097203170182185,1.0015815496444702
34,0.0004639415,233,1168.7028985507247,17.413757,0.017941944,298,0.014561836,137.11108,69632,0.03439039,1000.0,1e-05,0.2,0.0275390625,330,0.0045169108,-7.102512055635453,0.23287010192871094,217.79679011106492,224.93716430664062,-0.0037135802340344526,1.0015391111373901
35,0.00052751397,233,1175.8521126760563,16.207588,0.011768045,307,0.020531582,135.32504,71680,0.029924069,1000.0,1e-05,0.2,0.0529296875,340,0.0066782255,-7.102779054641724,0.23008811473846436,224.5285789847374,257.7453308105469,-0.005797890202666167,1.001723289489746
36,0.00061073666,233,1187.2157534246576,15.949761,0.013650482,315,0.014286535,140.56715,73728,0.038660645,1000.0,1e-05,0.2,0.017919921875,350,0.0027770824,-7.103940434753895,0.1053152084350586,231.58502135276794,182.2392578125,-0.0017967466643312945,1.0019782781600952
