return_mean,short_mean,long_mean,time/time_elapsed,long_std,short_std,rollout/ep_rew_mean,return_std,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss
1.1653208,0.38994697,-0.39725745,624,1.9556177,0.26399076,2.6097058399999997,0.72340375,20.0,40960,20,65,0.05546875,1e-05,0.06868149213842116,190,-2.814992342144251,0.2,-0.010814584282343276,0.009060532,0.8205380588769913,0.01648169569671154
1.2305696,0.35409844,-0.41402614,655,1.9888626,0.26718393,2.7564705599999995,0.7296702,20.0,43008,21,65,0.03125,1e-05,0.06949329571798443,200,-2.753950820118189,0.2,-0.005951670334616211,0.0055066566,0.8253338485956192,0.029054835438728333
1.1884608,0.35167187,-0.42519647,687,1.9905744,0.25277144,2.66735296,0.7345637,20.0,45056,22,65,0.073876953125,1e-05,0.06762156678014435,210,-2.8097529381513597,0.2,-0.010764908796409145,0.013048459,0.8337024748325348,0.01388988271355629
1.1753068,0.37445143,-0.3941575,718,1.957943,0.27339742,2.63058825,0.7065569,20.0,47104,23,65,0.051220703125,1e-05,0.06753164767287671,220,-2.8169652082026007,0.2,-0.010598871466936544,0.011980476,0.8366573303937912,-0.010731559246778488
1.2388389,0.3782571,-0.40447938,749,1.9009098,0.26405743,2.7664706,0.76479053,20.0,49152,24,65,0.04990234375,1e-05,0.06355618225643411,230,-2.834268143773079,0.2,-0.009236885531572625,0.0111244,0.8343690484762192,0.008955506607890129
1.233472,0.42538828,-0.40122682,780,1.8514026,0.28095427,2.7758823900000005,0.7481041,20.0,51200,25,65,0.061474609375,1e-05,0.07716394003364258,240,-2.848553008586168,0.2,-0.00906823989644181,0.010398354,0.825553834438324,-0.012854184955358505
1.2760324,0.4073402,-0.3976761,812,1.9223299,0.2912956,2.8764706099999997,0.7690107,20.0,53248,26,65,0.108740234375,1e-05,0.06811489879037254,250,-2.8045414857566358,0.2,-0.013453470118110999,0.011462246,0.8419705629348755,0.00047160498797893524
1.1980181,0.38320222,-0.4145378,843,1.967537,0.26972178,2.71794115,0.7530219,20.0,55296,27,65,0.05703125,1e-05,0.0773102817533072,260,-2.800187550485134,0.2,-0.009721090926905162,0.011122485,0.8250338733196259,-0.009164765477180481
1.1929696,0.43801633,-0.41349962,873,1.9808481,0.2888741,2.6855882099999997,0.71572965,20.0,57344,28,65,0.046240234375,1e-05,0.07537869514198973,270,-2.7656798511743546,0.2,-0.008292627059563528,0.008107356,0.8274012804031372,0.011729825288057327
1.2164469,0.42894706,-0.39007398,904,1.9391062,0.29210532,2.7411764599999997,0.7085025,20.0,59392,29,65,0.098046875,1e-05,0.06647873165784404,280,-2.7323339506983757,0.2,-0.014695483728428372,0.0151010975,0.8269704282283783,-0.007824738509953022
1.2084314,0.44238183,-0.3923415,934,1.9092764,0.2918885,2.686176479999999,0.717656,20.0,61440,30,65,0.04775390625,1e-05,0.061955030087847265,290,-2.7150594629347324,0.2,-0.008661366431624629,0.012388563,0.8331520557403564,-0.0032988227903842926
1.1637131,0.4079844,-0.39788672,964,2.0159535,0.28369635,2.57794121,0.71219844,20.0,63488,31,65,0.097216796875,1e-05,0.05821280347299762,300,-2.7623531073331833,0.2,-0.0129729099891847,0.0146735525,0.8475512713193893,-0.0069333650171756744
1.2025579,0.41159928,-0.37129998,995,1.9522545,0.2863164,2.650588219999999,0.72915435,20.0,65536,32,65,0.055859375,1e-05,0.06647505019209347,310,-2.785974828898907,0.2,-0.009212587695219553,0.012594678,0.8259934335947037,0.003117963671684265
1.2535853,0.47189766,-0.4026269,1025,1.928957,0.29341182,2.80705886,0.7468408,20.0,67584,33,65,0.03857421875,1e-05,0.06910843513906002,320,-2.745175428688526,0.2,-0.008284023831947707,0.010883613,0.8293159604072571,0.020130962133407593
1.2547202,0.456628,-0.4030314,1056,1.9685647,0.29519546,2.7511764999999997,0.728608,20.0,69632,34,65,0.052099609375,1e-05,0.061144683056045326,330,-2.729341473430395,0.2,-0.00963257530820556,0.009995205,0.8517556935548782,0.00937906838953495
1.3141366,0.4864757,-0.3768105,1086,1.973876,0.308829,2.8826470999999994,0.7676017,20.0,71680,35,65,0.048828125,1e-05,0.05954827971290797,340,-2.6994182504713535,0.2,-0.009449379236320965,0.009555648,0.8482596725225449,0.010341769084334373
1.3110371,0.49207795,-0.39252645,1117,1.9638563,0.29715604,2.8597058399999997,0.77171224,20.0,73728,36,65,0.04267578125,1e-05,0.06292928062030115,350,-2.692705987393856,0.2,-0.008625577040947973,0.009003181,0.857618048787117,0.042381953448057175
1.3252888,0.4826744,-0.3818054,1146,1.9151832,0.3080027,2.9450000099999993,0.7878187,20.0,75776,37,66,0.0513671875,1e-05,0.07466258303611539,360,-2.6842204339802267,0.2,-0.00917750723892823,0.010420056,0.8441666066646576,0.022142307832837105
1.1893792,0.44457936,-0.40042025,1176,1.8774283,0.2949258,2.6405882800000002,0.7356853,20.0,77824,38,66,0.03173828125,1e-05,0.07725170842604712,370,-2.7237255059182646,0.2,-0.007505531000788324,0.009665076,0.8433828353881836,0.014156825840473175
1.2806635,0.4913543,-0.39715427,1205,1.936268,0.30396274,2.87000003,0.7401599,20.0,79872,39,66,0.07080078125,1e-05,0.06374077490763738,380,-2.725014279037714,0.2,-0.011968754688859917,0.012173115,0.8431638032197952,-0.003795590251684189
1.2634821,0.510406,-0.39259297,1234,1.9140011,0.31654078,2.7908823900000006,0.750183,20.0,81920,40,66,0.054443359375,1e-05,0.058310740924207495,390,-2.6781537875533106,0.2,-0.008744142143405043,0.010953398,0.851477861404419,-0.004709513857960701
