long_mean,return_mean,time/total_timesteps,short_mean,long_std,rollout/ep_rew_mean,return_std,time/iterations,time/fps,short_std,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/std,train/clip_range,train/learning_rate,train/explained_variance,train/value_loss
0.0009924946,-30.779018,2048,0.020686366,0.015112258,-2138.25,44.016834,1,215,0.026429696,9,1000.0,,,,,,,,,,,
0.00078945485,-15.734557,4096,0.018683726,0.015385083,-1521.1875,33.104725,2,219,0.011801598,18,1000.0,10,-7.094887544214726,-0.004297342308564112,1725.138671875,0.0032537037,0.01298828125,1.0001252889633179,0.2,1e-05,-0.12133502960205078,3052.6245624542235
0.0007115353,-21.395592,6144,0.020625826,0.018170575,-1389.0833333333333,33.840088,3,216,0.015908899,28,1000.0,20,-7.095567327737808,-0.005183804975240491,570.7506103515625,0.0049023144,0.0212890625,1.0002434253692627,0.2,1e-05,0.05012774467468262,1117.4282999038696
0.0007163778,0.636446,8192,0.029885087,0.017311063,-962.71875,17.350529,4,211,0.0155259045,38,1000.0,30,-7.095560179650784,-0.006406836946553085,595.5421752929688,0.00637589,0.033642578125,1.0001534223556519,0.2,1e-05,0.15857762098312378,1057.4709787368774
0.0004756843,26.676394,10240,0.03613521,0.016093526,-534.325,12.35748,5,211,0.019077174,48,1000.0,40,-7.0930335715413095,-0.012331716317567043,54.79471206665039,0.008744944,0.095068359375,0.9992792010307312,0.2,1e-05,0.41157984733581543,132.61624987125396
0.00058198464,45.260387,12288,0.0489977,0.018926566,-235.1875,9.884024,6,212,0.015748762,57,1000.0,50,-7.090975743532181,-0.008180432449444197,51.68821716308594,0.009154893,0.041064453125,0.9991605877876282,0.2,1e-05,0.2453494668006897,225.95401775836945
0.00036521064,57.18404,14336,0.043922283,0.01904525,-2.6964285714285716,10.480465,7,213,0.014128555,67,1000.0,60,-7.0907476708292965,-0.007608889191760682,35.116180419921875,0.008058548,0.049267578125,0.9993532299995422,0.2,1e-05,0.12665444612503052,152.27498400211334
0.0006207782,70.51106,16384,0.040479176,0.018514687,182.390625,11.392386,8,213,0.012823876,76,1000.0,70,-7.091672937572002,-0.0011713948464603164,30.32611846923828,0.0037704327,0.004736328125,0.9993904232978821,0.2,1e-05,0.3993288278579712,166.68937896490098
0.0005127127,86.35797,18432,0.04055234,0.015416967,306.56944444444446,13.157301,9,213,0.016905304,86,1000.0,80,-7.092055384814739,-0.004593001025205013,29.522287368774414,0.0068239495,0.036669921875,0.9995970129966736,0.2,1e-05,0.23984038829803467,133.75021983385085
0.000390872,83.20772,20480,0.03775988,0.01656735,423.0375,14.111043,10,213,0.019799175,96,1000.0,90,-7.092854377627373,-0.0027572856313781815,81.03376770019531,0.0050407285,0.017236328125,0.9996873736381531,0.2,1e-05,0.1653062105178833,142.38954721689225
0.00063888746,96.15128,22528,0.028601859,0.01849297,510.64772727272725,14.977505,11,213,0.015251222,105,1000.0,100,-7.093423208594322,-0.0015683023273595608,66.82123565673828,0.0031546187,0.003173828125,0.9998305439949036,0.2,1e-05,0.29825878143310547,161.71065305471421
0.00051404873,101.06485,24576,0.03612703,0.016391965,587.1145833333334,15.397431,12,213,0.017237686,115,1000.0,110,-7.093824726343155,-0.003128500156162772,40.627559661865234,0.006289661,0.020361328125,0.999783992767334,0.2,1e-05,0.28257429599761963,169.83926658630372
0.00054212345,106.90535,26624,0.041134387,0.01815501,635.6057692307693,15.101814,13,213,0.017755052,124,1000.0,120,-7.093367983400822,-0.007820855802856385,154.8733673095703,0.008198306,0.064013671875,0.9996128082275391,0.2,1e-05,-0.008455991744995117,207.8854244351387
0.00058305496,113.75375,28672,0.047888007,0.019423911,653.8303571428571,15.430225,14,213,0.014112788,134,1000.0,130,-7.093186628818512,-0.005083498670137488,24.936491012573242,0.0057672625,0.03310546875,0.9998031854629517,0.2,1e-05,-0.08430492877960205,209.4650962948799
0.00070040394,109.23247,30720,0.048815854,0.019905943,702.6416666666667,14.861847,15,213,0.01618313,143,1000.0,140,-7.094130712747574,-0.004595817235531286,53.9870491027832,0.0055849906,0.031103515625,0.9999837875366211,0.2,1e-05,-0.5575859546661377,277.7798695445061
0.0004379365,114.34714,32768,0.044492856,0.0148407305,747.8125,13.909321,16,213,0.014015735,153,1000.0,150,-7.095655968785286,-0.005727026984095574,26.551828384399414,0.0072987606,0.049462890625,1.0003947019577026,0.2,1e-05,0.01996588706970215,202.5645540237427
0.00063437,114.04843,34816,0.030642394,0.018042263,783.4485294117648,14.4662485,17,206,0.012708512,168,1000.0,160,-7.097346660494805,-0.004483478009933606,62.53496551513672,0.0066337488,0.041650390625,1.0006784200668335,0.2,1e-05,0.04773527383804321,185.32633306980134
0.0004689627,117.89704,36864,0.030799512,0.014527146,818.9930555555555,15.558735,18,198,0.014269754,185,1000.0,170,-7.098828272521496,-0.005232257256284356,87.52931213378906,0.0064116353,0.054833984375,1.0010712146759033,0.2,1e-05,0.11620223522186279,181.1225714325905
0.000598044,124.5289,38912,0.031234102,0.018384622,853.4407894736842,15.975301,19,194,0.013960926,200,1000.0,180,-7.100573068857193,-0.0034143300174036993,203.02381896972656,0.006381226,0.028173828125,1.0012577772140503,0.2,1e-05,0.1550356149673462,199.29361654520034
0.0005205238,126.450516,40960,0.027377516,0.016398264,886.16875,16.182207,20,189,0.0136639355,215,1000.0,190,-7.102181066572666,-0.002450905559817329,98.8650131225586,0.0035817353,0.0140625,1.0017530918121338,0.2,1e-05,0.16279160976409912,212.64949008226395
