short_mean,short_std,time/time_elapsed,long_mean,time/total_timesteps,rollout/ep_len_mean,return_mean,return_std,long_std,time/iterations,rollout/ep_rew_mean,time/fps,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/clip_fraction
0.2769988,0.2683703,30,-0.3858035,2048,20.0,0.833426,0.4914927,2.0126357,1,2.3897058799999997,66,,,,,,,,,,
0.31196827,0.2824867,59,-0.37239867,4096,20.0,0.9369363,0.5523991,1.9801524,2,2.2514705600000005,68,0.2,-0.003534718678565696,0.0010231768,10,-0.07238888740539551,0.1587396808899939,1e-05,-3.555077138543129,0.04091772437095642,0.0
0.2760024,0.27087542,88,-0.3775037,6144,20.0,1.0240567,0.6266395,1.9791965,3,2.38970589,69,0.2,-0.0032447980367578564,0.0012683789,20,0.5075176656246185,0.08495104681351222,1e-05,-3.553508361428976,0.009782291948795319,0.0
0.32106158,0.31820026,117,-0.38831764,8192,20.0,1.0770946,0.64301103,2.037682,4,2.44088236,69,0.2,-0.0038157043949468062,0.0018948758,30,0.6553631126880646,0.08263787422329187,1e-05,-3.5509165905416014,0.024020487442612648,0.0
0.31359917,0.29161108,146,-0.37638372,10240,20.0,0.9997667,0.6630542,1.8776559,5,2.3479412,69,0.2,-0.004238148954755161,0.002620921,40,0.7364015281200409,0.07207581229740753,1e-05,-3.544762571901083,0.017655029892921448,0.008251953125
0.31993815,0.30579644,176,-0.39633214,12288,20.0,1.0739326,0.669732,2.014246,6,2.43794118,69,0.2,-0.004760738476761617,0.0026202053,50,0.7189013361930847,0.08686677871737629,1e-05,-3.5385339185595512,0.023120436817407608,0.00615234375
0.26664102,0.2562827,205,-0.37063164,14336,20.0,1.0310822,0.6482595,1.9719601,7,2.39323526,69,0.2,-0.008734398639353458,0.0070074704,60,0.7042497992515564,0.09585636021802202,1e-05,-3.5231564551591874,0.03205015882849693,0.032373046875
0.20986381,0.2081922,234,-0.3864473,16384,20.0,1.0322181,0.6485935,1.9526688,8,2.35529414,69,0.2,-0.012143856947659515,0.011059176,70,0.7716806828975677,0.07353108152747154,1e-05,-3.4830431923270226,0.018749810755252838,0.061328125
0.26745716,0.25295743,263,-0.37311575,18432,20.0,1.1305618,0.7023904,1.9182271,9,2.56764699,69,0.2,-0.007424088113475591,0.0055625313,80,0.7950225472450256,0.0633379403501749,1e-05,-3.4698433369398116,0.02498754672706127,0.015283203125
0.25010574,0.26104492,293,-0.3906118,20480,20.0,1.1306455,0.703234,1.990654,10,2.56588235,69,0.2,-0.011123800132190808,0.009944141,90,0.7487019300460815,0.08945452340412885,1e-05,-3.450293918699026,0.035234563052654266,0.04873046875
0.23505661,0.20105049,322,-0.3716609,22528,20.0,1.0483363,0.666472,1.9784341,11,2.39735294,69,0.2,-0.009498965296370444,0.009399433,100,0.7858305424451828,0.07576378036756068,1e-05,-3.4282263785600664,0.03482678532600403,0.02099609375
0.22544591,0.19403353,351,-0.38698584,24576,20.0,1.1260463,0.7156605,2.0030658,12,2.6273529300000003,69,0.2,-0.00747940491855843,0.0076916213,110,0.7885731607675552,0.07195460825460032,1e-05,-3.395060209929943,0.020939771085977554,0.023095703125
0.2390265,0.21612544,380,-0.39681113,26624,20.0,1.1638509,0.71228004,2.001216,13,2.6573528900000003,69,0.2,-0.009730171810952015,0.00896765,120,0.7921449393033981,0.08117456175968982,1e-05,-3.3600787565112116,0.05246008187532425,0.027880859375
0.21724898,0.19794656,410,-0.39104626,28672,20.0,1.168762,0.7033499,1.9310424,14,2.6220588400000007,69,0.2,-0.01267226620693691,0.013610555,130,0.8070431351661682,0.0738376236287877,1e-05,-3.2983119539916514,0.02965005300939083,0.059619140625
0.2323136,0.20240596,439,-0.4048088,30720,20.0,1.1364591,0.70435816,2.0681112,15,2.5182353,69,0.2,-0.011344392114551738,0.010875425,140,0.8109857141971588,0.07142594592296518,1e-05,-3.240073271840811,0.0494392029941082,0.051513671875
0.26113778,0.21108977,468,-0.39424968,32768,20.0,1.161396,0.725653,1.943524,16,2.6700000099999994,69,0.2,-0.015347413651761599,0.012856242,150,0.8256451040506363,0.06728482698672451,1e-05,-3.215852760523558,-0.01825808361172676,0.0802734375
0.29645315,0.22281516,497,-0.41363108,34816,20.0,1.208009,0.7263673,1.9532815,17,2.7264706099999994,69,0.2,-0.009205112786730751,0.009281879,160,0.8006981164216995,0.07798534479225054,1e-05,-3.19653677046299,0.04786656051874161,0.03388671875
