short_mean,time/total_timesteps,short_std,return_mean,time/iterations,return_std,long_std,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,long_mean,train/clip_fraction,train/loss,train/n_updates,train/entropy_loss,train/clip_range,train/explained_variance,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss
0.2769988,2048,0.2683703,0.833426,1,0.4914927,2.0126357,2.3897058799999997,36,56,20.0,-0.3858035,,,,,,,,,,
0.3045247,4096,0.28380135,0.93386537,2,0.5656915,1.9819367,2.24823529,68,59,20.0,-0.35823798,0.0001953125,0.03031199425458908,10,-3.5547768115997314,0.2,-0.07238888740539551,1e-05,0.002305168,-0.0058121810972807,0.1592545735416934
0.23684818,6144,0.22431041,1.069066,3,0.6488771,1.9697624,2.5532353300000006,102,59,20.0,-0.38999885,0.004443359375,-0.0048179104924201965,20,-3.5489468298852445,0.2,0.5169981420040131,1e-05,0.0045752646,-0.005956377982511185,0.0912597429996822
0.24355002,8192,0.21376684,1.0772177,4,0.63873535,1.9364558,2.41470587,133,61,20.0,-0.38746288,0.018359375,0.02236894704401493,30,-3.532038427889347,0.2,0.6494307518005371,1e-05,0.008490978,-0.007776523384382017,0.09278612766647712
0.23935242,10240,0.23691995,1.0280445,5,0.649348,2.0025725,2.3555882799999996,165,61,20.0,-0.38300037,0.05029296875,0.060978569090366364,40,-3.501296205073595,0.2,0.7023690640926361,1e-05,0.010645172,-0.011665738592273555,0.08035588636994362
0.24823312,12288,0.24067414,1.1094968,6,0.6828681,2.0030203,2.50382354,197,62,20.0,-0.42369604,0.096875,0.03715353459119797,50,-3.447244334220886,0.2,0.7462516725063324,1e-05,0.011849448,-0.014260348505922593,0.08128158609615639
0.24681771,14336,0.20184603,1.0637783,7,0.66953796,1.9669969,2.4547058899999996,229,62,20.0,-0.38665697,0.092431640625,0.006539776921272278,60,-3.3835290290415285,0.2,0.7488844096660614,1e-05,0.013184471,-0.015975979180075227,0.08788860620697961
0.25094306,16384,0.198925,1.0503979,8,0.69103086,1.9910374,2.3711765299999996,260,62,20.0,-0.4260543,0.05908203125,0.039777010679244995,70,-3.3282938703894613,0.2,0.763375386595726,1e-05,0.011099606,-0.012773031994584017,0.0847508506209124
0.29570583,18432,0.22592857,1.1360543,9,0.71006656,2.058831,2.4999999999999996,291,63,20.0,-0.40481263,0.068798828125,0.0008967090398073196,80,-3.3153721265494824,0.2,0.7564741373062134,1e-05,0.01268859,-0.013587009510956705,0.0898495627916418
0.2936558,20480,0.22443976,1.1399882,10,0.7177941,1.9971703,2.59735295,322,63,20.0,-0.41123796,0.034912109375,0.01378725841641426,90,-3.2544704139232636,0.2,0.7773613929748535,1e-05,0.010757066,-0.009889291851141024,0.08622752233641222
0.31719053,22528,0.22392152,1.1524549,11,0.6847813,2.0260088,2.6238235399999996,354,63,20.0,-0.40919673,0.058642578125,-0.001567937433719635,100,-3.2160173051059244,0.2,0.8060868680477142,1e-05,0.010971064,-0.012505964763113298,0.07614377227728256
0.35535407,24576,0.24966845,1.1873976,12,0.6983227,2.0388665,2.6902941100000004,385,63,20.0,-0.39365304,0.05341796875,-0.011213509365916252,110,-3.180011833459139,0.2,0.8179388344287872,1e-05,0.010180604,-0.011693117485265248,0.062305290543008596
0.2853133,26624,0.22795554,1.1524373,13,0.711565,1.9293823,2.5802940900000007,417,63,20.0,-0.40930024,0.041650390625,-0.002492811530828476,120,-3.2212729930877684,0.2,0.8158948570489883,1e-05,0.010323681,-0.008998243443784304,0.0680450074316468
0.27877873,28672,0.2241309,1.1854572,14,0.7280938,1.9188391,2.6770587999999993,449,63,20.0,-0.3999464,0.035986328125,0.01611381024122238,130,-3.174067224562168,0.2,0.8006708323955536,1e-05,0.010937665,-0.009683181159198284,0.0766227784275543
0.28229666,30720,0.22256508,1.1467725,15,0.7411623,1.9643838,2.62058824,480,63,20.0,-0.38319784,0.026513671875,0.038445986807346344,140,-3.1645962096750737,0.2,0.821248471736908,1e-05,0.009571113,-0.009499772090930492,0.072018542670412
0.28004616,32768,0.21681045,1.1449771,16,0.6970589,2.009352,2.6305881799999997,512,63,20.0,-0.40631646,0.0384765625,-0.02891053631901741,150,-3.1959991060197352,0.2,0.8136795461177826,1e-05,0.00975696,-0.009645205258857458,0.08009094372973777
0.29558593,34816,0.25077727,1.1347977,17,0.6852937,1.9742521,2.5747058199999997,544,63,20.0,-0.39110926,0.0216796875,0.006778104230761528,160,-3.2061153247952463,0.2,0.8015121519565582,1e-05,0.0058245827,-0.006548617075895891,0.06754344106884673
0.26323336,36864,0.19901033,1.1910663,18,0.7099804,1.8523334,2.6929411599999997,575,64,20.0,-0.37694713,0.023486328125,0.007754040881991386,170,-3.235412324219942,0.2,0.8103771954774857,1e-05,0.0076771565,-0.00861007881758269,0.06380137730157003
0.29465005,38912,0.22196531,1.1848804,19,0.70642793,2.016931,2.65029408,607,64,20.0,-0.40012202,0.080078125,0.03813052922487259,180,-3.1373677760362626,0.2,0.8189430236816406,1e-05,0.013872721,-0.01418393689673394,0.06581011245725676
0.3061456,40960,0.22939599,1.1307195,20,0.75359184,1.9642168,2.6038235999999997,639,64,20.0,-0.39718848,0.035986328125,0.007670853286981583,190,-3.132847481220961,0.2,0.8205330967903137,1e-05,0.00944899,-0.011202596688235644,0.06752221577917225
0.27817395,43008,0.2093876,1.1665473,21,0.72906184,1.9775594,2.6338235300000004,671,64,20.0,-0.40401697,0.048046875,0.0028510726988315582,200,-3.1291869916021824,0.2,0.8143643587827682,1e-05,0.008706147,-0.01318305578752188,0.07938878645072692
0.26991314,45056,0.19991077,1.1383426,22,0.70951766,1.9913682,2.5641176100000003,703,64,20.0,-0.41240573,0.04580078125,0.047348689287900925,210,-3.1672509729862215,0.2,0.8172129392623901,1e-05,0.007921524,-0.010406048854929396,0.07439172664307989
0.28327554,47104,0.22825737,1.06845,23,0.6674894,1.8555732,2.45794113,735,64,20.0,-0.3764534,0.0541015625,-0.020725594833493233,220,-3.149274854362011,0.2,0.8181464076042175,1e-05,0.011945017,-0.014759775753191207,0.07031953036785125
0.25371867,49152,0.19053125,1.1668931,24,0.7202722,1.9466914,2.6488235900000006,766,64,20.0,-0.39730197,0.05703125,0.012371845543384552,230,-3.0784315593540668,0.2,0.8255814760923386,1e-05,0.009612512,-0.01384647483646404,0.06217147286515683
0.30197257,51200,0.20205669,1.1716003,25,0.73074746,1.8729478,2.6676470099999987,799,64,20.0,-0.3611834,0.04208984375,0.004412464797496796,240,-3.0396925203502176,0.2,0.8201737105846405,1e-05,0.010566285,-0.013093396471231245,0.06838399270782247
0.26314422,53248,0.21088384,1.2291766,26,0.73893654,1.9446801,2.7841177,831,64,20.0,-0.40316832,0.057666015625,0.0275561660528183,250,-3.0542390294373036,0.2,0.8300695270299911,1e-05,0.011559467,-0.01500015182828065,0.06793920842465014
0.22800365,55296,0.17534891,1.2031366,27,0.74063325,1.8740815,2.7244117799999996,865,63,20.0,-0.4127589,0.04873046875,0.0035389158874750137,260,-3.051768398284912,0.2,0.8293276429176331,1e-05,0.009255382,-0.012860087267472408,0.06763254390098154
0.2292006,57344,0.16864891,1.2060676,28,0.7462771,1.9152167,2.77764707,899,63,20.0,-0.39711657,0.033154296875,0.004018431529402733,270,-3.065330317616463,0.2,0.8430187106132507,1e-05,0.008937872,-0.01007474222278688,0.06523100614431314
0.22582155,59392,0.17628627,1.2760785,29,0.77223605,1.9995364,2.8826470000000004,932,63,20.0,-0.39898562,0.0765625,0.02754315733909607,280,-3.068723962455988,0.2,0.845958486199379,1e-05,0.01225352,-0.014343854288745206,0.06577432465855963
0.22508049,61440,0.16660057,1.2093837,30,0.7215199,1.8821608,2.7305882500000007,965,63,20.0,-0.38212752,0.06826171875,-0.005454657599329948,290,-2.994998548179865,0.2,0.8131648451089859,1e-05,0.009872685,-0.013977748071192763,0.07843304885900579
0.19242986,63488,0.17130792,1.2394865,31,0.76549923,1.8394463,2.80147057,997,63,20.0,-0.39640644,0.048046875,-0.002707313746213913,300,-2.933153346180916,0.2,0.8384010046720505,1e-05,0.01205798,-0.012327512379852124,0.06483411990338936
0.2169567,65536,0.17635846,1.2275295,32,0.76025367,1.9330199,2.7744117800000003,1030,63,20.0,-0.41721612,0.11796875,-0.018843617290258408,310,-2.8363928332924844,0.2,0.8458200395107269,1e-05,0.011477577,-0.01930686515988782,0.06895247762440704
0.19711192,67584,0.14697772,1.2579536,33,0.7612792,1.7839735,2.85999997,1062,63,20.0,-0.39124316,0.03759765625,-0.0006906241178512573,320,-2.799697558581829,0.2,0.8413759022951126,1e-05,0.012211569,-0.013387030398007482,0.07416075348155574
0.19492954,69632,0.14654052,1.2780582,34,0.7702147,1.8406471,2.8941176599999996,1093,63,20.0,-0.39904273,0.102197265625,0.014486856758594513,330,-2.6988574013113977,0.2,0.8484701216220856,1e-05,0.012380509,-0.01724959982384462,0.06723568217712454
0.20738602,71680,0.16312258,1.2955072,35,0.7821248,1.915239,2.9638235399999995,1124,63,20.0,-0.42972004,0.08916015625,0.01865100860595703,340,-2.703406324237585,0.2,0.8437369167804718,1e-05,0.010450433,-0.016290600746287964,0.0691030174435582
0.19738525,73728,0.15971325,1.3380322,36,0.7822106,1.8507254,2.98088234,1155,63,20.0,-0.39438492,0.08740234375,0.014180649071931839,350,-2.6117008179426193,0.2,0.858722910284996,1e-05,0.014000775,-0.015189888223540038,0.06422137506306172
0.20442846,75776,0.1680999,1.2715155,37,0.7919489,1.8253292,2.9408823500000008,1187,63,20.0,-0.40923128,0.073095703125,-0.004576686769723892,360,-2.544875391572714,0.2,0.8482062518596649,1e-05,0.010601498,-0.01489161153731402,0.07185470481053927
0.19094828,77824,0.15334503,1.3254147,38,0.83913785,1.8028694,3.0049999800000005,1217,63,20.0,-0.3949566,0.0830078125,0.05508553981781006,370,-2.3984410367906093,0.2,0.8459147214889526,1e-05,0.013494836,-0.013358990743290633,0.07655390031868592
0.19839585,79872,0.1350118,1.2655811,39,0.7813869,1.8641062,2.8897058399999995,1248,63,20.0,-0.3782805,0.08955078125,0.02854352444410324,380,-2.1763791613280774,0.2,0.8418853282928467,1e-05,0.010069385,-0.01402718056924641,0.09137072563171386
0.19388115,81920,0.14040326,1.3032167,40,0.8181283,1.8323331,3.0288235600000006,1280,63,20.0,-0.3967989,0.095751953125,-0.01398283801972866,390,-1.9860174540430307,0.2,0.8640709817409515,1e-05,0.012208046,-0.015015761167160236,0.06640867012902163
0.18292665,83968,0.13430497,1.3537419,41,0.8150388,1.854202,3.0720588200000005,1312,63,20.0,-0.40639582,0.127001953125,0.020997215062379837,400,-1.728884568810463,0.2,0.8653677105903625,1e-05,0.0115252035,-0.01614156895375345,0.07572595890378579
0.21024475,86016,0.16403988,1.4130212,42,0.9067689,1.8809701,3.2079411600000003,1343,64,20.0,-0.3989391,0.095849609375,0.03500078245997429,410,-1.557959721982479,0.2,0.8509046137332916,1e-05,0.009915572,-0.01386235496320296,0.07286751283099875
0.20364094,88064,0.12344877,1.4136139,43,0.8783852,1.7779884,3.24147062,1375,64,20.0,-0.37918872,0.071142578125,0.011955589056015015,420,-1.4569184575229883,0.2,0.8581954091787338,1e-05,0.0068915733,-0.015587957866955549,0.09411917115794495
0.19493133,90112,0.12902662,1.4097607,44,0.8649617,1.8600647,3.1911765199999995,1406,64,20.0,-0.3978855,0.070166015625,0.023892376571893692,430,-1.3622548662126064,0.2,0.865050807595253,1e-05,0.006801766,-0.012531220834353008,0.0857239214994479
0.20254758,92160,0.13827567,1.4942338,45,0.92022234,1.8240331,3.344117640000001,1437,64,20.0,-0.40699124,0.055859375,0.03429868817329407,440,-1.3130964018404483,0.2,0.86018405854702,1e-05,0.0048986874,-0.011924051190726459,0.08562537574907765
0.17631379,94208,0.12759271,1.4140043,46,0.86714923,1.7872674,3.199117660000001,1466,64,20.0,-0.39212716,0.051318359375,0.04136853665113449,450,-1.2559831196442246,0.2,0.8628011792898178,1e-05,0.005018916,-0.01295527171168942,0.09353270886931568
