short_mean,return_mean,long_mean,rollout/ep_len_mean,rollout/ep_rew_mean,long_std,short_std,return_std,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction
0.2769988,0.833426,-0.3858035,20.0,2.3897058799999997,2.0126357,0.2683703,0.4914927,1,34,58,2048,,,,,,,,,,
0.31333154,0.93417335,-0.3717682,20.0,2.24588233,1.9821502,0.28451702,0.5475743,2,66,61,4096,0.03963414579629898,0.1586884921649471,1e-05,-3.555073729157448,10,-0.003600359399570152,0.0010607356,-0.07238888740539551,0.2,0.0
0.2986616,1.071808,-0.38793087,20.0,2.5467646999999998,2.0570416,0.29836535,0.6562391,3,98,62,6144,0.0082060806453228,0.08299124095356092,1e-05,-3.5535951323807238,20,-0.0028341382276266813,0.0009995475,0.5110780000686646,0.2,0.0
0.3048928,1.0996578,-0.3942114,20.0,2.47176467,2.023894,0.26435378,0.65228605,4,129,63,8192,0.018224723637104034,0.08743559862487019,1e-05,-3.549547290802002,30,-0.005883116275072098,0.0040108897,0.6658821702003479,0.2,0.00458984375
0.27884886,0.99587166,-0.40125135,20.0,2.2685294099999997,2.0000184,0.26585832,0.6339411,5,161,63,10240,0.04877784103155136,0.07922462838469073,1e-05,-3.539227128773928,40,-0.005358957799035125,0.0042401934,0.711139053106308,0.2,0.0048828125
0.2810478,1.0532649,-0.38896716,20.0,2.4035294,2.0260284,0.26981005,0.6749615,6,194,63,12288,0.03055707737803459,0.07828133831499144,1e-05,-3.520184352248907,50,-0.006255653919652104,0.006968307,0.7320340573787689,0.2,0.01640625
0.24604943,1.0772295,-0.38013574,20.0,2.4317647200000003,2.0105793,0.26085824,0.64915514,7,227,62,14336,0.009371139109134674,0.08767493456834927,1e-05,-3.4852630153298376,60,-0.008044737378077116,0.0080582695,0.7421782612800598,0.2,0.03818359375
0.2277119,1.069591,-0.41166908,20.0,2.4629411699999997,2.0495417,0.23690312,0.6992979,8,260,62,16384,0.012850422412157059,0.06668110613245518,1e-05,-3.433451468497515,70,-0.008410534693393857,0.010580778,0.7874025702476501,0.2,0.03603515625
0.23410502,1.1393139,-0.39894187,20.0,2.53147062,1.9661798,0.23571353,0.6850364,9,291,63,18432,0.048183053731918335,0.08237279927707278,1e-05,-3.4105668887495995,80,-0.009073312077089214,0.0070662936,0.7648451626300812,0.2,0.027978515625
0.24032128,1.1062032,-0.40235823,20.0,2.4894117799999997,1.9505458,0.21782732,0.6975998,10,323,63,20480,0.01005828008055687,0.07952625431353226,1e-05,-3.3619793355464935,90,-0.014460316102486104,0.013069764,0.7738609611988068,0.2,0.070751953125
